# Large batch test — 500 active LOINC codes sampled across clinical domains
# Source: LOINC 2.82, ACTIVE status only
# Classes represented: chemistry, microbiology, hematology, drug/tox,
#   serology, allergy, radiology, H&P, panels, coagulation, urinalysis,
#   cardiology, respiratory, vital signs, pathology, and more

39129-2  # Moisture of Skin
83971-2  # Social worker Long term care facility Referral note
68100-7  # Lately, because of my illness, people were unkind to me [NeuroQol]
83758-3  # Hematology+Medical oncology Resident Note
83046-3  # XR Skull LE 3 AP and Lateral Views
63739-7  # How many hours did you work last week at all jobs or businesses in the past week [NHANES]
87430-5  # Cystatin C and Glomerular filtration rate by Cystatin C-based formula panel - Serum or Plasma
87094-9  # Guidance for reposition of venous filter in Inferior vena cava
33834-3  # Lymphocytes Plasmacytoid [#/volume] in Blood by Manual count
19054-6  # Mycoplasma pneumoniae [Presence] in Specimen by Organism specific culture
55771-0  # Basophils [#] in Cerebral spinal fluid by Manual count
11218-5  # Microalbumin [Mass/volume] in Urine by Test strip
79285-3  # Carnitine biosynthesis intermediates panel - Serum or Plasma
5810-7  # Specific gravity of Urine by Refractometry
41101-7  # GJB2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
92650-1  # PARoxetine [Presence] in Urine by Confirmatory method
8886-4  # Heart rate method
54800-8  # Arthritis in last 7 days [MDSv3]
73722-1  # Bile acid [Moles/volume] in Urine
90038-1  # Weighted score [RAPID3]
10826-6  # Nissel.microscopic observation [Identifier] in Tissue by Cresyl echt violet stain
107846-8  # Cinnamon IgG Ab [Units/volume] in Serum or Plasma by Immunoassay
1801-0  # Amylase renal clearance in 24 hour Urine and Serum or Plasma
33673-5  # Thrombin time.factor substitution immediately after addition of protamine sulfate in Platelet poor plasma by Coagulation assay
2195-6  # Dehydroepiandrosterone (DHEA) [Mass/volume] in Urine
12248-1  # Epithelial cells.renal [Presence] in Urine sediment by Light microscopy
92235-1  # Lab order result status
38888-4  # Status of nursing unit activity level
97851-0  # Subject of Person
22000-4  # Site and behavior override flag Cancer case
94417-3  # SLC6A4 gene 5-HTTLPR variant [Genotype] in Blood or Tissue by Molecular genetics method Nominal
50224-5  # Epithelial casts [Presence] in Urine by Computer assisted method
10326-7  # Breath rate device Vendor serial number
81146-3  # CYP3A4 and CYP3A5 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method
8359-2  # Peripheral artery measurement site
32013-5  # Eosinophils/Leukocytes in Pericardial fluid by Manual count
56411-2  # Velvet grass IgG4 Ab [Mass/volume] in Serum
82756-8  # Date of blood donation
101929-8  # Supersaturation panel - Urine
49644-8  # SCA10 gene allele 2.ATTCT repeats [Entitic number] in Blood or Tissue by Molecular genetics method
100492-8  # Nutrition and dietetics Outpatient Progress note
85738-3  # Bombay phenotype [Presence] on Red Blood Cells from Blood product unit
21169-8  # CD71 cells/cells in Specimen
112174-8  # Spelt IgE Ab [Units/volume] in Serum or Plasma by Immunoassay
27204-7  # Cocaine [Mass/volume] in Vitreous fluid
93754-0  # Encephalomyocarditis virus RNA [Cycle Threshold #] in Specimen by NAA with probe detection
93439-8  # Herpes simplex virus 1 DNA [Presence] in Blood by NAA with non-probe detection
53518-7  # Leukocytes [#/volume] in Dialysis fluid
18072-9  # Left ventricular Major axis diastole [Length] by US.2D.A2C
11826-5  # Kidney - left Hilum-cortex diameter US
45066-8  # Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood
31530-9  # Neuronal Ab [Units/volume] in Cerebral spinal fluid
39118-5  # Saturated 4x4 gauze dressings [#] of Wound
8835-1  # Systemic vascular Resistance index by Fick method
83836-7  # Dentistry Summary note
409-3  # Piperacillin [Susceptibility] by Disk diffusion (KB)
193-3  # Clindamycin [Susceptibility] by Minimum inhibitory concentration (MIC)
102981-8  # Honey bee IgG Ab [Presence] in Serum by Radioallergosorbent test (RAST)
39-8  # Azlocillin [Susceptibility] by Minimum lethal concentration (MLC)
39877-6  # NM Liver and Spleen Views
74809-5  # von Willebrand factor (vWf).activity actual/normal in Control Platelet poor plasma by Immunoassay
107802-1  # Lentils IgG Ab [Units/volume] in Serum or Plasma by Immunoassay
33240-3  # Cystine crystals [Presence] in Urine by Computer assisted method
73628-0  # Besifloxacin [Susceptibility] by Minimum inhibitory concentration (MIC)
39456-9  # Acetaminophen [Moles/volume] in Urine
15201-7  # Platelets Large Fragments [#/volume] in Blood by Manual count
70238-1  # Transplant surgery Hospital Progress note
76197-3  # Multiple sigh breaths delivered 1 minute Ventilator
28604-7  # Phosphoethanolamine/Creatinine [Ratio] in Urine
39963-4  # Creatinine [Mass/volume] in Serum or Plasma --4 hours post XXX challenge
24925-0  # RFA Spinal artery Views W contrast IA
101695-5  # Duration of intense heart rate zone
73554-8  # Abciximab induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC)
38840-5  # XR Ankle - left 2 Views W manual stress
91390-5  # History of Preadolescent sexual abuse
38882-7  # Emotional stability behavior --post event
73506-8  # Benazepril induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC)
89367-7  # von Willebrand factor.ristocetin cofactor inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay
79339-8  # Carnitine biosynthesis intermediates pattern newborn screen interpretation
23782-6  # Swine influenza virus Ag [Presence] in Tissue by Immune stain
49540-8  # Acid citrate dextrose [Volume] in Blood product unit
86855-4  # MDS v3.0 - RAI v1.17.2 - Speech-language pathology and audiology services - ND during assessment period [CMS Assessment]
8865-8  # Pulse intensity by palpation
58076-1  # Yk sup(a) Ab [Presence] in Serum or Plasma
67915-9  # I felt nervous when my normal routine was disturbed in the past 7 days [NeuroQol]
10250-9  # Heart rate device Vendor model number
8478-0  # Mean blood pressure
42730-2  # Cardiolipin IgA Ab B2GP1 independent [Multiple of the median] in Serum
35097-5  # Lymphocytes [#/volume] in Peritoneal fluid
111668-0  # Left eye Visual Field Mean Sensitivity Static Automated Perimetry
68825-9  # Pediatrics Hospital History and physical note
68139-5  # Neuro-Qol pediatric short form - peer interaction - version 1.0 [NeuroQol.Peds]
31565-5  # Polio virus 1 Ab [Units/volume] in Body fluid
72224-9  # Pathologic casts [Presence] in Urine by Automated
87827-2  # Casts [Presence] in Urine
79346-3  # Alpha-aminoadipic semialdehyde/Creatinine [Molar ratio] in Urine
12003-0  # Fetal Umbilical artery at fetus Pulsatility index US.doppler
61058-4  # Alpha-Phenyl-2-Piperidine acetate [Presence] in Urine
46468-5  # Current living arrangement
103370-3  # XR Mandible - bilateral Single view
107083-8  # CD3+CD26+ cells/Cells in Blood by Flow cytometry (FC)
87207-7  # Care Area Assessment (CAA) Summary during assessment period [CMS Assessment]
60026-2  # Leukocyte esterase [Presence] in Urine by Automated test strip
92237-7  # Lab observation sub-type
60712-7  # Head held in midline with visual stimulation [TIMP]
54072-4  # Hemoglobin A/Hemoglobin.total in DBS
53512-0  # Eicosanoylcarnitine (C20)/Creatinine [Molar ratio] in Urine
92246-8  # Microorganism resistance mutation detected [Presence] by Molecular method
60043-7  # Acepromazine [Mass/volume] in Blood
52335-7  # Respiratory therapy treatment plan, Referral information Set
84141-1  # Hematology+Medical oncology Group counseling note
35084-3  # Fetal lung maturity in Amniotic fluid
100662-6  # Cortisol free and total panel - Serum or Plasma
61615-1  # Are you able to stand with your knees straight [PROMIS]
90292-4  # Liver cancer antibodies and AFP [Interpretation] in Serum or Plasma Qualitative
63299-2  # Nucleosome Ab [Presence] in Cerebral spinal fluid by Immunoassay
86649-1  # Birth control method at intake Reported
63204-2  # Privet IgG Ab [Mass/volume] in Serum
10068-5  # S' wave amplitude in lead V5
24773-4  # NM Kidney Views W radionuclide transplant scan
111796-9  # Pain body site
107374-1  # RF Guidance for percutaneous embolization coil for repair of aneurysm of Cerebral vessels
38889-2  # Personnel notified of {event}
96863-6  # Used prescription opiate pain reliever not as prescribed or not prescribed for you in past 3 months
97312-3  # Campylobacter coli+jejuni+upsaliensis DNA [Presence] in Stool by NAA with probe detection
8363-4  # Respiratory phase
91026-5  # Event Inter-agency communication documentation
36278-0  # MR Breast - left WO and W contrast IV
82394-8  # Fibrillarin Ab [Presence] in Serum by Line blot
70487-4  # I am bothered by odor coming from my vulva in the past 7 days [FACIT]
51053-7  # CD126 blasts [Units/volume] in Blood
85866-2  # Sleep medicine Consult note
