# Large batch test — 500 active LOINC codes sampled across clinical domains
# Source: LOINC 2.82, ACTIVE status only
# Classes represented: chemistry, microbiology, hematology, drug/tox,
#   serology, allergy, radiology, H&P, panels, coagulation, urinalysis,
#   cardiology, respiratory, vital signs, pathology, and more

39129-2  # Moisture of Skin
22751-2  # Tobramycin [Moles/volume] in Serum or Plasma --peak
101094-1  # In^a Ab [Presence] in Serum or Plasma
21518-6  # SCL-70 extractable nuclear IgG Ab [Presence] in Serum
100994-3  # B-cell CD19 and CD20 subsets panel - Blood by Flow cytometry (FC)
11328-2  # Heart rate at First encounter
66879-8  # Skin IgG Ab [Titer] in Serum by Guinea pig esophagus substrate
79048-5  # Are you able to move from the street to the sidewalk without a curb cut [PROMIS]
81693-4  # MSH-6 Ag [Presence] in Cancer specimen by Immune stain
60465-2  # Neisseria meningitidis serogroup w135 IgG Ab [Mass/volume] in Serum by Immunoassay
106337-9  # US Guidance for biopsy of Hand - left
41905-1  # Altitude
50403-5  # Blood pressure systolic and diastolic--before transfusion
18087-7  # Left ventricular Myocardial mass by US
33020-9  # Triple phosphate crystals [#/area] in Urine sediment by Microscopy low power field
102939-6  # Eel IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)
12886-8  # Borrelia burgdorferi 66kD Ab [Presence] in Body fluid by Immunoblot
101694-8  # Duration of moderate heart rate zone
13830-5  # Phenylglyoxylate/Creatinine [Mass Ratio] in Urine
47902-2  # Somatotropin [Units/volume] in Serum or Plasma --2 hours post dose betaxolol+glucagon
80031-8  # Left ventricular posterior wall Thickness at end diastole by US.M-mode
10398-6  # I Ag [Presence] on Red Blood Cells from Blood product unit
40594-4  # Platelet aggregation [Units/volume] in Platelet rich plasma by EPINEPHrine induced 100 umol/L
99885-6  # Hyaline-granular casts [Presence] in Urine sediment by Computer assisted method
43623-8  # Acetylcholine receptor blocking Ab [Presence] in Serum
92236-9  # Lab observation result status
41065-4  # PTPN11 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
24321-2  # Basic metabolic 2000 panel - Serum or Plasma
5988-1  # Plasminogen activator tissue type [Mass/volume] in Platelet poor plasma by Chromogenic method --10 minutes post venistasis
36075-0  # MR Lower leg - left
10249-1  # Heart rate device Institution inventory number
111734-0  # Lip Philtrum length
38880-1  # Ventilator alarm reason
28127-9  # Kinesthetic alteration [CCC]
43110-6  # Immunoglobulin light chains panel - 24 hour Urine
63362-8  # Thyroperoxidase Ab [Units/volume] in Cerebral spinal fluid by Immunoassay
50352-4  # Papain IgE Ab/IgE total in Serum
7355-1  # Annual blue grass IgE Ab [Units/volume] in Serum
19072-8  # Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Serum or Plasma
70282-9  # t(9;12)(q34.1;p13)(ABL1,ETV6) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method
87926-2  # Epithelial cells [#/volume] in Urine by Automated
87707-6  # Job supervisory level or pay grade
56279-3  # Guinea pig epithelium IgG4 Ab [Mass/volume] in Serum
38877-7  # Oral care given
8360-0  # Body position head tilt angle
51202-0  # Platinum [Mass/volume] in Body fluid
90580-2  # Thinking about the past 4 weeks, my child had a lot of fun [PROMIS.PARENTPROXY]
40121-6  # Creatinine [Moles/volume] in Serum or Plasma --9 hours post XXX challenge
82771-7  # Lab test location performed [Type]
94035-3  # Suicide plan
103217-6  # Mean respiratory rate
101866-2  # Gas and electrolytes point of care panel - Venous blood
80117-5  # 7-Aminoflunitrazepam [Mass/volume] in Body fluid by Confirmatory method
16931-8  # Hematocrit/Hemoglobin [Ratio] of Blood by Automated count
5786-9  # Epithelial casts [#/area] in Urine sediment by Microscopy low power field
7786-7  # Yew IgE Ab [Units/volume] in Serum
57543-1  # 17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --6th specimen post dose gonadotropin releasing hormone
89498-0  # Prenatal diagnosis
111476-8  # XR Ankle - left Views and Mortise
79294-5  # D- and L-2-hydroxyglutarate panel - Cerebral spinal fluid
89299-2  # Heart rate special circumstances
37150-0  # XR Chest PA and Right oblique and Left oblique
31159-7  # Heparin anti Xa [Units/volume] in Nonbiological fluid
100376-3  # Bamboo sprouts IgG Ab [Units/volume] in Serum
10458-8  # Alkaline phosphatase.placental Ag [Presence] in Tissue by Immune stain
84618-8  # Can pronounce accrementitial [NIH Toolbox]
35063-7  # Eosinophils [#/volume] in Body fluid
28999-1  # Left eye Exopthalmia Exopthalmometer.Hertel
8884-9  # Heart rate rhythm
